region_league,position,team_name,team_id,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,last_updated,url
UKRAINE - PREMIER LEAGUE - ROUND 16,4,Kryvbas,2gUHsxs4,4,4,27,4,27,23,4,25,2025-12-12T13:34:37.093022,https://www.flashscore.com/football/ukraine/premier-league/
UKRAINE - PREMIER LEAGUE - ROUND 16,5,Kolos Kovalivka,OfzUZGy6,6,3,16,4,16,12,4,24,2025-12-12T13:34:37.093022,https://www.flashscore.com/football/ukraine/premier-league/
UKRAINE - PREMIER LEAGUE - ROUND 16,6,Dyn. Kyiv,nNpqXMwH,5,4,32,11,32,21,11,23,2025-12-12T13:34:37.093022,https://www.flashscore.com/football/ukraine/premier-league/
UKRAINE - PREMIER LEAGUE - ROUND 16,7,FK Zorya Luhansk,j9Wy32w4,5,4,19,3,19,16,3,23,2025-12-12T13:34:37.093022,https://www.flashscore.com/football/ukraine/premier-league/
UKRAINE - PREMIER LEAGUE - ROUND 16,8,Metalist 1925,W0X2VHyL,6,3,15,4,15,11,4,21,2025-12-12T13:34:37.093022,https://www.flashscore.com/football/ukraine/premier-league/
UKRAINE - PREMIER LEAGUE - ROUND 16,9,Karpaty Lviv,tCBNq3le,7,4,18,0,18,18,0,19,2025-12-12T13:34:37.093022,https://www.flashscore.com/football/ukraine/premier-league/
UKRAINE - PREMIER LEAGUE - ROUND 16,10,Veres-Rivne,Aahkn5KI,6,4,13,-1,13,14,-1,18,2025-12-12T13:34:37.093022,https://www.flashscore.com/football/ukraine/premier-league/
UKRAINE - PREMIER LEAGUE - ROUND 16,11,Obolon,bN0dYbAh,5,6,11,-13,11,24,-13,17,2025-12-12T13:34:37.093022,https://www.flashscore.com/football/ukraine/premier-league/
UKRAINE - PREMIER LEAGUE - ROUND 16,12,Rukh Lviv,pQAxlRVL,1,9,13,-9,13,22,-9,16,2025-12-12T13:34:37.093022,https://www.flashscore.com/football/ukraine/premier-league/
UKRAINE - PREMIER LEAGUE - ROUND 16,13,Kudrivka,nmVantfF,2,9,18,-11,18,29,-11,14,2025-12-12T13:34:37.093022,https://www.flashscore.com/football/ukraine/premier-league/
UKRAINE - PREMIER LEAGUE - ROUND 16,14,Epitsentr,fsn6KO1s,2,9,18,-4,18,22,-4,14,2025-12-12T13:34:37.093022,https://www.flashscore.com/football/ukraine/premier-league/
UKRAINE - PREMIER LEAGUE - ROUND 16,15,Oleksandriya,nHJnN4vh,4,9,13,-14,13,27,-14,10,2025-12-12T13:34:37.093022,https://www.flashscore.com/football/ukraine/premier-league/
UKRAINE - PREMIER LEAGUE - ROUND 16,16,SC Poltava,reGwCBEC,3,10,13,-23,13,36,-23,9,2025-12-12T13:34:37.093022,https://www.flashscore.com/football/ukraine/premier-league/
MALI - PREMIERE DIVISION - ROUND 4,1,Diarra,bkOKaPbt,0,0,3,3,3,0,3,9,2025-12-12T13:35:08.285857,https://www.flashscore.com/football/mali/premiere-division/
MALI - PREMIERE DIVISION - ROUND 4,2,Real Bamako,CCHpwr2G,1,0,4,3,4,1,3,7,2025-12-12T13:35:08.285857,https://www.flashscore.com/football/mali/premiere-division/
MALI - PREMIERE DIVISION - ROUND 4,3,USFAS Bamako,Y1KHxbeg,1,0,4,3,4,1,3,7,2025-12-12T13:35:08.285857,https://www.flashscore.com/football/mali/premiere-division/
MALI - PREMIERE DIVISION - ROUND 4,4,Binga,neuJuAnR,0,1,3,1,3,2,1,6,2025-12-12T13:35:08.285857,https://www.flashscore.com/football/mali/premiere-division/
MALI - PREMIERE DIVISION - ROUND 4,5,Bougouba,UZZqsih6,0,1,3,0,3,3,0,6,2025-12-12T13:35:08.285857,https://www.flashscore.com/football/mali/premiere-division/
MALI - PREMIERE DIVISION - ROUND 4,6,Korofina,MFbr986l,1,0,4,3,4,1,3,4,2025-12-12T13:35:08.285857,https://www.flashscore.com/football/mali/premiere-division/
MALI - PREMIERE DIVISION - ROUND 4,7,Bakaridjan,WAh8IGne,1,1,1,-1,1,2,-1,4,2025-12-12T13:35:08.285857,https://www.flashscore.com/football/mali/premiere-division/
MALI - PREMIERE DIVISION - ROUND 4,8,Djoliba,YBkx7bvs,0,1,3,2,3,1,2,3,2025-12-12T13:35:08.285857,https://www.flashscore.com/football/mali/premiere-division/
MALI - PREMIERE DIVISION - ROUND 4,9,Stade Malien,dCu6JsVb,2,0,1,0,1,1,0,2,2025-12-12T13:35:08.285857,https://www.flashscore.com/football/mali/premiere-division/
MALI - PREMIERE DIVISION - ROUND 4,10,Derby Academie,ETo42tph,1,1,0,-1,0,1,-1,1,2025-12-12T13:35:08.285857,https://www.flashscore.com/football/mali/premiere-division/
MALI - PREMIERE DIVISION - ROUND 4,11,Onze Createurs,zVdVFWb8,1,2,1,-2,1,3,-2,1,2025-12-12T13:35:08.285857,https://www.flashscore.com/football/mali/premiere-division/
MALI - PREMIERE DIVISION - ROUND 4,12,Mali Coura,rHH1XNBi,1,2,0,-2,0,2,-2,1,2025-12-12T13:35:08.285857,https://www.flashscore.com/football/mali/premiere-division/
MALI - PREMIERE DIVISION - ROUND 4,13,Foot Elite,IPwzmuAU,1,2,0,-5,0,5,-5,1,2025-12-12T13:35:08.285857,https://www.flashscore.com/football/mali/premiere-division/
MALI - PREMIERE DIVISION - ROUND 4,14,US Bougouni,WYMGVAMG,0,3,0,-4,0,4,-4,0,2025-12-12T13:35:08.285857,https://www.flashscore.com/football/mali/premiere-division/
NIGER - SUPER LIGUE - ROUND 9,1,Nigelec,UTQRuVAq,1,0,14,11,14,3,11,22,2025-12-12T13:35:16.108359,https://www.flashscore.com/football/niger/super-ligue/
NIGER - SUPER LIGUE - ROUND 9,2,US Gendarmerie,4OI9Vfj6,2,0,16,13,16,3,13,20,2025-12-12T13:35:16.108359,https://www.flashscore.com/football/niger/super-ligue/
NIGER - SUPER LIGUE - ROUND 9,3,ASFAN,KdDQmabI,3,0,9,8,9,1,8,18,2025-12-12T13:35:16.108359,https://www.flashscore.com/football/niger/super-ligue/
NIGER - SUPER LIGUE - ROUND 9,4,AS ZAM,jL9qWdNF,3,2,12,3,12,9,3,12,2025-12-12T13:35:16.108359,https://www.flashscore.com/football/niger/super-ligue/
NIGER - SUPER LIGUE - ROUND 9,5,Police,nZojyofR,0,4,11,3,11,8,3,12,2025-12-12T13:35:16.108359,https://www.flashscore.com/football/niger/super-ligue/
NIGER - SUPER LIGUE - ROUND 9,6,Tagour Provincial Club,Orb4azZ8,3,2,11,1,11,10,1,12,2025-12-12T13:35:16.108359,https://www.flashscore.com/football/niger/super-ligue/
NIGER - SUPER LIGUE - ROUND 9,7,ASGNN,QJK4WRtH,2,3,14,4,14,10,4,11,2025-12-12T13:35:16.108359,https://www.flashscore.com/football/niger/super-ligue/
NIGER - SUPER LIGUE - ROUND 9,8,Douanes Niamey,zofpZTdb,2,3,8,0,8,8,0,11,2025-12-12T13:35:16.108359,https://www.flashscore.com/football/niger/super-ligue/
NIGER - SUPER LIGUE - ROUND 9,9,Liberte,dIASd0zA,2,3,7,-7,7,14,-7,11,2025-12-12T13:35:16.108359,https://www.flashscore.com/football/niger/super-ligue/
NIGER - SUPER LIGUE - ROUND 9,10,Espoir,8bhhX7RA,1,4,5,-6,5,11,-6,10,2025-12-12T13:35:16.108359,https://www.flashscore.com/football/niger/super-ligue/
NIGER - SUPER LIGUE - ROUND 9,11,Urana,Qw7ITYKI,3,3,6,1,6,5,1,9,2025-12-12T13:35:16.108359,https://www.flashscore.com/football/niger/super-ligue/
NIGER - SUPER LIGUE - ROUND 9,12,Sahel,WKdnEd5s,2,4,5,-1,5,6,-1,8,2025-12-12T13:35:16.108359,https://www.flashscore.com/football/niger/super-ligue/
NIGER - SUPER LIGUE - ROUND 9,13,AS UAM,tM4Hgiw8,2,4,5,-2,5,7,-2,8,2025-12-12T13:35:16.108359,https://www.flashscore.com/football/niger/super-ligue/
NIGER - SUPER LIGUE - ROUND 9,14,Renaissance,hjxMLTIt,1,5,8,-6,8,14,-6,7,2025-12-12T13:35:16.108359,https://www.flashscore.com/football/niger/super-ligue/
NIGER - SUPER LIGUE - ROUND 9,15,Olympic Niamey,YZ1yozgK,3,4,5,-5,5,10,-5,6,2025-12-12T13:35:16.108359,https://www.flashscore.com/football/niger/super-ligue/
NIGER - SUPER LIGUE - ROUND 9,16,Tahoua,Mawqn4bt,0,8,3,-17,3,20,-17,0,2025-12-12T13:35:16.108359,https://www.flashscore.com/football/niger/super-ligue/
AUSTRIA - 2. LIGA - ROUND 17,1,St. Polten,8KA7Qw1U,2,3,28,13,28,15,13,32,2025-12-12T13:47:26.855530,https://www.flashscore.com/football/austria/2-liga/
AUSTRIA - 2. LIGA - ROUND 17,2,Admira,Yk4H6LHn,7,0,36,23,36,13,23,31,2025-12-12T13:47:26.855530,https://www.flashscore.com/football/austria/2-liga/
AUSTRIA - 2. LIGA - ROUND 17,3,Amstetten,YHWHwmRf,7,1,26,12,26,14,12,28,2025-12-12T13:47:26.855530,https://www.flashscore.com/football/austria/2-liga/
AUSTRIA - 2. LIGA - ROUND 17,4,Floridsdorfer AC,r9HwRaWH,4,3,23,13,23,10,13,28,2025-12-12T13:47:26.855530,https://www.flashscore.com/football/austria/2-liga/
AUSTRIA - 2. LIGA - ROUND 17,5,A. Lustenau,655zEcZJ,4,3,20,8,20,12,8,28,2025-12-12T13:47:26.855530,https://www.flashscore.com/football/austria/2-liga/
AUSTRIA - 2. LIGA - ROUND 17,6,Austria Vienna (Am),C4FBQHlQ,3,6,18,-4,18,22,-4,21,2025-12-12T13:47:26.855530,https://www.flashscore.com/football/austria/2-liga/
AUSTRIA - 2. LIGA - ROUND 17,7,Liefering,Cv27lapN,7,4,23,-3,23,26,-3,19,2025-12-12T13:47:26.855530,https://www.flashscore.com/football/austria/2-liga/
AUSTRIA - 2. LIGA - ROUND 17,8,A. Salzburg,jVlL3vb5,3,7,21,-6,21,27,-6,18,2025-12-12T13:47:26.855530,https://www.flashscore.com/football/austria/2-liga/
AUSTRIA - 2. LIGA - ROUND 17,9,First Vienna,Eez3RKEM,4,6,16,-1,16,17,-1,16,2025-12-12T13:47:26.855530,https://www.flashscore.com/football/austria/2-liga/
AUSTRIA - 2. LIGA - ROUND 17,10,SK Rapid II,Yuu4T0aG,4,7,18,-7,18,25,-7,16,2025-12-12T13:47:26.855530,https://www.flashscore.com/football/austria/2-liga/
AUSTRIA - 2. LIGA - ROUND 17,11,A. Klagenfurt,hIayizS6,3,7,17,-5,17,22,-5,15,2025-12-12T13:47:26.855530,https://www.flashscore.com/football/austria/2-liga/
AUSTRIA - 2. LIGA - ROUND 17,12,Kapfenberg,SUpSZy5K,2,9,19,-14,19,33,-14,14,2025-12-12T13:47:26.855530,https://www.flashscore.com/football/austria/2-liga/
AUSTRIA - 2. LIGA - ROUND 17,13,Hertha Wels,6i1ocvXH,4,8,15,-8,15,23,-8,13,2025-12-12T13:47:26.855530,https://www.flashscore.com/football/austria/2-liga/
AUSTRIA - 2. LIGA - ROUND 17,14,Sturm Graz II,8IZ6QvUS,5,8,15,-13,15,28,-13,11,2025-12-12T13:47:26.855530,https://www.flashscore.com/football/austria/2-liga/
AUSTRIA - 2. LIGA - ROUND 17,15,Bregenz,fmD86L0H,7,7,18,-8,18,26,-8,7,2025-12-12T13:47:26.855530,https://www.flashscore.com/football/austria/2-liga/
AUSTRIA - 2. LIGA - ROUND 17,16,Stripfing,dOdvIwtg,0,0,0,0,0,0,0,0,2025-12-12T13:47:26.855530,https://www.flashscore.com/football/austria/2-liga/
UGANDA - PREMIER LEAGUE - ROUND 10,1,Kampala City,fwjo7kpb,2,1,14,6,14,8,6,20,2025-12-12T13:53:22.614378,https://www.flashscore.com/football/uganda/premier-league/
UGANDA - PREMIER LEAGUE - ROUND 10,2,Villa,ALztxK6e,2,2,15,8,15,7,8,20,2025-12-12T13:53:22.614378,https://www.flashscore.com/football/uganda/premier-league/
UGANDA - PREMIER LEAGUE - ROUND 10,3,Vipers,naKVehgj,3,0,14,10,14,4,10,18,2025-12-12T13:53:22.614378,https://www.flashscore.com/football/uganda/premier-league/
UGANDA - PREMIER LEAGUE - ROUND 10,4,Police,O6V1NhPB,3,2,18,7,18,11,7,18,2025-12-12T13:53:22.614378,https://www.flashscore.com/football/uganda/premier-league/
UGANDA - PREMIER LEAGUE - ROUND 10,5,Entebbe UPPC,UPwapTb8,2,3,13,4,13,9,4,17,2025-12-12T13:53:22.614378,https://www.flashscore.com/football/uganda/premier-league/
UGANDA - PREMIER LEAGUE - ROUND 10,6,Kitara,W0aMZOUR,1,2,12,6,12,6,6,16,2025-12-12T13:53:22.614378,https://www.flashscore.com/football/uganda/premier-league/
UGANDA - PREMIER LEAGUE - ROUND 10,7,Maroons,hj8xMlGq,3,3,9,2,9,7,2,12,2025-12-12T13:53:22.614378,https://www.flashscore.com/football/uganda/premier-league/
UGANDA - PREMIER LEAGUE - ROUND 10,8,Express,dM8vDNti,3,4,11,1,11,10,1,12,2025-12-12T13:53:22.614378,https://www.flashscore.com/football/uganda/premier-league/
UGANDA - PREMIER LEAGUE - ROUND 10,9,URA SC,IPUH0qvc,5,3,13,0,13,13,0,11,2025-12-12T13:53:22.614378,https://www.flashscore.com/football/uganda/premier-league/
UGANDA - PREMIER LEAGUE - ROUND 10,10,NEC FC,vXYNKJKR,5,2,9,0,9,9,0,11,2025-12-12T13:53:22.614378,https://www.flashscore.com/football/uganda/premier-league/
UGANDA - PREMIER LEAGUE - ROUND 10,11,UPDF,CCz5vQDb,1,6,11,-5,11,16,-5,10,2025-12-12T13:53:22.614378,https://www.flashscore.com/football/uganda/premier-league/
UGANDA - PREMIER LEAGUE - ROUND 10,12,BUL,612q3z1G,4,3,7,0,7,7,0,10,2025-12-12T13:53:22.614378,https://www.flashscore.com/football/uganda/premier-league/
UGANDA - PREMIER LEAGUE - ROUND 10,13,Lugazi,ziQnnPsF,4,4,10,-5,10,15,-5,10,2025-12-12T13:53:22.614378,https://www.flashscore.com/football/uganda/premier-league/
UGANDA - PREMIER LEAGUE - ROUND 10,14,Buhimba,neJtB1pJ,1,6,12,-14,12,26,-14,10,2025-12-12T13:53:22.614378,https://www.flashscore.com/football/uganda/premier-league/
UGANDA - PREMIER LEAGUE - ROUND 10,15,Mbarara City,lba9cS49,3,5,9,-6,9,15,-6,6,2025-12-12T13:53:22.614378,https://www.flashscore.com/football/uganda/premier-league/
UGANDA - PREMIER LEAGUE - ROUND 10,16,Calvary,SzQhQsLe,2,7,5,-14,5,19,-14,2,2025-12-12T13:53:22.614378,https://www.flashscore.com/football/uganda/premier-league/
GERMANY - BUNDESLIGA WOMEN - ROUND 13,1,Bayern Munich W,vkjy3nF9,1,0,45,41,45,4,41,34,2025-12-12T13:55:52.803422,https://www.flashscore.com/football/germany/bundesliga-women/
GERMANY - BUNDESLIGA WOMEN - ROUND 13,2,Wolfsburg W,Yaedf2i2,1,2,40,22,40,18,22,28,2025-12-12T13:55:52.803422,https://www.flashscore.com/football/germany/bundesliga-women/
GERMANY - BUNDESLIGA WOMEN - ROUND 13,3,Werder Bremen W,vyDE3LZH,2,3,21,4,21,17,4,23,2025-12-12T13:55:52.803422,https://www.flashscore.com/football/germany/bundesliga-women/
GERMANY - BUNDESLIGA WOMEN - ROUND 13,4,Bayer Leverkusen W,hjuyw2Kb,1,4,21,1,21,20,1,22,2025-12-12T13:55:52.803422,https://www.flashscore.com/football/germany/bundesliga-women/
GERMANY - BUNDESLIGA WOMEN - ROUND 13,5,Hoffenheim W,vkQQP5Rf,1,5,21,5,21,16,5,19,2025-12-12T13:55:52.803422,https://www.flashscore.com/football/germany/bundesliga-women/
GERMANY - BUNDESLIGA WOMEN - ROUND 13,6,Eintracht Frankfurt W,C6sxeOzB,1,5,28,3,28,25,3,19,2025-12-12T13:55:52.803422,https://www.flashscore.com/football/germany/bundesliga-women/
GERMANY - BUNDESLIGA WOMEN - ROUND 13,7,Freiburg W,UNGe0paS,1,5,25,3,25,22,3,19,2025-12-12T13:55:52.803422,https://www.flashscore.com/football/germany/bundesliga-women/
GERMANY - BUNDESLIGA WOMEN - ROUND 13,8,Koln W,OAHe2v6S,3,4,18,1,18,17,1,18,2025-12-12T13:55:52.803422,https://www.flashscore.com/football/germany/bundesliga-women/
GERMANY - BUNDESLIGA WOMEN - ROUND 13,9,1.FC Nurnberg W,bRnTlGdH,3,5,17,-10,17,27,-10,15,2025-12-12T13:55:52.803422,https://www.flashscore.com/football/germany/bundesliga-women/
GERMANY - BUNDESLIGA WOMEN - ROUND 13,10,RB Leipzig W,nkmFAG4Q,1,7,18,-7,18,25,-7,13,2025-12-12T13:55:52.803422,https://www.flashscore.com/football/germany/bundesliga-women/
GERMANY - BUNDESLIGA WOMEN - ROUND 13,11,Union Berlin W,0CApK8nk,2,7,15,-10,15,25,-10,11,2025-12-12T13:55:52.803422,https://www.flashscore.com/football/germany/bundesliga-women/
GERMANY - BUNDESLIGA WOMEN - ROUND 13,12,SGS Essen W,nFgq1QqM,2,8,9,-19,9,28,-19,8,2025-12-12T13:55:52.803422,https://www.flashscore.com/football/germany/bundesliga-women/
GERMANY - BUNDESLIGA WOMEN - ROUND 13,13,Hamburger SV W,2HMMF0Ll,4,7,12,-17,12,29,-17,7,2025-12-12T13:55:52.803422,https://www.flashscore.com/football/germany/bundesliga-women/
GERMANY - BUNDESLIGA WOMEN - ROUND 13,14,Jena W,E9mqMJVK,3,9,10,-17,10,27,-17,3,2025-12-12T13:55:52.803422,https://www.flashscore.com/football/germany/bundesliga-women/
MALTA - PREMIER LEAGUE - FIRST STAGE - PLAY OUT - ROUND 13,7,Gzira,vNKKFgsl,4,4,18,-1,18,19,-1,19,2025-12-12T13:57:07.028482,https://www.flashscore.com/football/malta/premier-league/
MALTA - PREMIER LEAGUE - FIRST STAGE - PLAY OUT - ROUND 13,8,Hibernians,hWUCnRM1,4,4,21,2,21,19,2,16,2025-12-12T13:57:07.028482,https://www.flashscore.com/football/malta/premier-league/
MALTA - PREMIER LEAGUE - FIRST STAGE - PLAY OUT - ROUND 13,9,Zabbar,MZkrZYmQ,5,5,13,-3,13,16,-3,11,2025-12-12T13:57:07.028482,https://www.flashscore.com/football/malta/premier-league/
MALTA - PREMIER LEAGUE - FIRST STAGE - PLAY OUT - ROUND 13,10,Mosta,htCyNMwL,2,7,13,-7,13,20,-7,11,2025-12-12T13:57:07.028482,https://www.flashscore.com/football/malta/premier-league/
MALTA - PREMIER LEAGUE - FIRST STAGE - PLAY OUT - ROUND 13,11,Naxxar,SItGFa63,3,9,12,-10,12,22,-10,6,2025-12-12T13:57:07.028482,https://www.flashscore.com/football/malta/premier-league/
MALTA - PREMIER LEAGUE - FIRST STAGE - PLAY OUT - ROUND 13,12,Tarxien,I5Y7y9fg,3,8,10,-13,10,23,-13,6,2025-12-12T13:57:07.028482,https://www.flashscore.com/football/malta/premier-league/
SPAIN - PRIMERA RFEF - GROUP 2 - ROUND 16,1,Atl. Madrid B,beO74ziJ,3,3,24,13,24,11,13,30,2025-12-12T14:04:18.330643,https://www.flashscore.com/football/spain/primera-rfef-group-2/
SPAIN - PRIMERA RFEF - GROUP 2 - ROUND 16,2,Sabadell,lnS2YNhJ,8,1,14,7,14,7,7,26,2025-12-12T14:04:18.330643,https://www.flashscore.com/football/spain/primera-rfef-group-2/
SPAIN - PRIMERA RFEF - GROUP 2 - ROUND 16,3,CE Europa,UkEeaAlL,5,3,20,6,20,14,6,26,2025-12-12T14:04:18.330643,https://www.flashscore.com/football/spain/primera-rfef-group-2/
SPAIN - PRIMERA RFEF - GROUP 2 - ROUND 16,4,Murcia,YqQG18wC,5,4,16,2,16,14,2,23,2025-12-12T14:04:18.330643,https://www.flashscore.com/football/spain/primera-rfef-group-2/
SPAIN - PRIMERA RFEF - GROUP 2 - ROUND 16,5,FC Cartagena SAD,IJyXDZ6C,5,4,13,1,13,12,1,23,2025-12-12T14:04:18.330643,https://www.flashscore.com/football/spain/primera-rfef-group-2/
SPAIN - PRIMERA RFEF - GROUP 2 - ROUND 16,6,Teruel,MTXvQWhD,5,4,12,0,12,12,0,23,2025-12-12T14:04:18.330643,https://www.flashscore.com/football/spain/primera-rfef-group-2/
SPAIN - PRIMERA RFEF - GROUP 2 - ROUND 16,7,Gimnastic,WSv960Hk,4,5,20,0,20,20,0,22,2025-12-12T14:04:18.330643,https://www.flashscore.com/football/spain/primera-rfef-group-2/
SPAIN - PRIMERA RFEF - GROUP 2 - ROUND 16,8,Hercules,EgDgrOO2,3,6,17,1,17,16,1,21,2025-12-12T14:04:18.330643,https://www.flashscore.com/football/spain/primera-rfef-group-2/
SPAIN - PRIMERA RFEF - GROUP 2 - ROUND 16,9,Algeciras,lSHMFchs,3,6,16,-1,16,17,-1,21,2025-12-12T14:04:18.330643,https://www.flashscore.com/football/spain/primera-rfef-group-2/
SPAIN - PRIMERA RFEF - GROUP 2 - ROUND 16,10,Eldense,8WUSyF3F,8,3,16,-1,16,17,-1,20,2025-12-12T14:04:18.330643,https://www.flashscore.com/football/spain/primera-rfef-group-2/
SPAIN - PRIMERA RFEF - GROUP 2 - ROUND 16,11,Alcorcon,0ranWp9D,5,5,12,-2,12,14,-2,20,2025-12-12T14:04:18.330643,https://www.flashscore.com/football/spain/primera-rfef-group-2/
SPAIN - PRIMERA RFEF - GROUP 2 - ROUND 16,12,Villarreal B,YT0e2vMU,4,6,21,4,21,17,4,19,2025-12-12T14:04:18.330643,https://www.flashscore.com/football/spain/primera-rfef-group-2/
SPAIN - PRIMERA RFEF - GROUP 2 - ROUND 16,13,Antequera,UTX26rhg,7,4,17,2,17,15,2,19,2025-12-12T14:04:18.330643,https://www.flashscore.com/football/spain/primera-rfef-group-2/
SPAIN - PRIMERA RFEF - GROUP 2 - ROUND 16,14,Tarazona,t8OpHDUh,4,6,9,-3,9,12,-3,19,2025-12-12T14:04:18.330643,https://www.flashscore.com/football/spain/primera-rfef-group-2/
SPAIN - PRIMERA RFEF - GROUP 2 - ROUND 16,15,Torremolinos,AB8XRSBQ,6,5,18,-1,18,19,-1,18,2025-12-12T14:04:18.330643,https://www.flashscore.com/football/spain/primera-rfef-group-2/
SPAIN - PRIMERA RFEF - GROUP 2 - ROUND 16,16,UD Ibiza,rNW6jqw0,6,5,12,-3,12,15,-3,18,2025-12-12T14:04:18.330643,https://www.flashscore.com/football/spain/primera-rfef-group-2/
SPAIN - PRIMERA RFEF - GROUP 2 - ROUND 16,17,Sevilla FC B,dY03Jvn2,6,6,10,-2,10,12,-2,15,2025-12-12T14:04:18.330643,https://www.flashscore.com/football/spain/primera-rfef-group-2/
SPAIN - PRIMERA RFEF - GROUP 2 - ROUND 16,18,Marbella,fw2i3K6O,5,7,9,-5,9,14,-5,14,2025-12-12T14:04:18.330643,https://www.flashscore.com/football/spain/primera-rfef-group-2/
SPAIN - PRIMERA RFEF - GROUP 2 - ROUND 16,19,Sanluqueno,r1N5s49f,5,7,13,-6,13,19,-6,14,2025-12-12T14:04:18.330643,https://www.flashscore.com/football/spain/primera-rfef-group-2/
SPAIN - PRIMERA RFEF - GROUP 2 - ROUND 16,20,Betis B,GzVElN7C,5,9,9,-12,9,21,-12,8,2025-12-12T14:04:18.330643,https://www.flashscore.com/football/spain/primera-rfef-group-2/
PORTUGAL - LIGA PORTUGAL 2 - ROUND 14,1,Maritimo,noguvetP,2,3,19,10,19,9,10,29,2025-12-12T14:04:20.683425,https://www.flashscore.com/football/portugal/liga-portugal-2/
PORTUGAL - LIGA PORTUGAL 2 - ROUND 14,2,Sporting CP B,KKfzlNbq,2,2,24,17,24,7,17,29,2025-12-12T14:04:20.683425,https://www.flashscore.com/football/portugal/liga-portugal-2/
